Date,Open,High,Low,Close,Volume,Adj Close
2014-08-26,4336.29,4395.94,4333.12,4393.41,102347700,4393.41
2014-08-25,4299.50,4342.11,4286.61,4342.11,66624700,4342.11
2014-08-22,4291.06,4291.17,4233.15,4252.80,88085100,4252.80
2014-08-21,4247.32,4292.93,4231.66,4292.93,89019500,4292.93
2014-08-20,4250.28,4254.84,4216.96,4240.79,70065700,4240.79
2014-08-19,4243.83,4258.83,4235.28,4254.45,65903800,4254.45
2014-08-18,4227.88,4241.86,4211.38,4230.65,73943500,4230.65
2014-08-15,4216.90,4256.34,4168.08,4174.36,110744200,4174.36
2014-08-14,4176.93,4217.39,4166.18,4205.43,88592900,4205.43
2014-08-13,4187.46,4204.38,4178.79,4194.79,96498300,4194.79
2014-08-12,4188.05,4193.15,4150.90,4162.16,93578700,4162.16
2014-08-11,4182.75,4206.27,4165.35,4197.70,97124600,4197.70
2014-08-08,4114.09,4165.26,4109.31,4147.81,124099100,4147.81
2014-08-07,4209.61,4209.61,4146.27,4149.83,135520200,4149.83
2014-08-06,4207.20,4222.76,4169.80,4207.14,137276800,4207.14
2014-08-05,4240.57,4252.68,4217.62,4232.88,132162200,4232.88
2014-08-04,4222.78,4240.12,4204.66,4217.22,127194400,4217.22
2014-08-01,4236.35,4243.07,4182.02,4202.78,224455200,4202.78
2014-07-31,4335.20,4337.74,4238.27,4246.14,222485200,4246.14
2014-07-30,4360.18,4378.70,4303.66,4312.30,117320300,4312.30
2014-07-29,4349.43,4389.76,4332.30,4365.58,85744300,4365.58
2014-07-28,4352.50,4358.47,4308.26,4344.77,80021000,4344.77
2014-07-25,4390.85,4395.38,4317.49,4330.55,96448300,4330.55
2014-07-24,4376.69,4415.29,4347.76,4410.65,109270400,4410.65
2014-07-23,4360.20,4396.70,4356.30,4376.32,84995400,4376.32
2014-07-22,4323.71,4373.70,4315.66,4369.52,99480800,4369.52
2014-07-21,4334.62,4336.79,4295.36,4304.74,78393400,4304.74
2014-07-18,4296.84,4335.31,4284.42,4335.31,111179000,4335.31
2014-07-17,4345.98,4362.28,4311.12,4316.12,102510700,4316.12
2014-07-16,4322.96,4374.22,4322.96,4369.06,106369100,4369.06
2014-07-15,4344.50,4352.58,4303.47,4305.31,101075800,4305.31
2014-07-14,4327.66,4355.76,4324.06,4350.04,78369700,4350.04
2014-07-11,4309.65,4330.48,4299.37,4316.50,96055500,4316.50
2014-07-10,4357.77,4357.77,4277.58,4301.26,133558400,4301.26
2014-07-09,4353.53,4362.56,4329.14,4359.84,100385500,4359.84
2014-07-08,4418.17,4423.78,4342.50,4342.53,108090300,4342.53
2014-07-07,4453.76,4463.06,4404.24,4405.76,86253100,4405.76
2014-07-04,4482.22,4489.81,4468.98,4468.98,65868000,4468.98
2014-07-03,4446.70,4490.72,4437.36,4489.88,110971500,4489.88
2014-07-02,4460.62,4467.79,4436.11,4444.72,131935500,4444.72
2014-07-01,4438.77,4462.43,4430.26,4461.12,104764000,4461.12
2014-06-30,4443.03,4457.57,4407.18,4422.84,101095200,4422.84
2014-06-27,4447.17,4461.47,4426.59,4436.99,91027500,4436.99
2014-06-26,4470.78,4473.43,4412.18,4439.63,105956700,4439.63
2014-06-25,4494.36,4496.67,4448.27,4460.60,124298200,4460.60
2014-06-24,4529.54,4536.11,4513.10,4518.34,95139000,4518.34
2014-06-23,4540.52,4540.52,4494.36,4515.57,113645600,4515.57
2014-06-20,4555.51,4574.92,4541.34,4541.34,188834000,4541.34
2014-06-19,4565.11,4581.95,4558.07,4563.04,130906800,4563.04
2014-06-18,4540.10,4550.93,4529.53,4530.37,99269700,4530.37
2014-06-17,4524.25,4538.24,4508.46,4536.07,95996300,4536.07
2014-06-16,4523.52,4540.68,4509.52,4510.05,95236800,4510.05
2014-06-13,4550.19,4555.86,4506.93,4543.28,99692700,4543.28
2014-06-12,4552.00,4573.98,4545.22,4554.40,97945400,4554.40
2014-06-11,4580.73,4583.64,4552.63,4555.11,123035200,4555.11
2014-06-10,4589.90,4598.65,4579.06,4595.00,85719200,4595.00
2014-06-09,4580.94,4590.66,4570.41,4589.12,66662900,4589.12
2014-06-06,4553.31,4586.68,4539.53,4581.12,127889500,4581.12
2014-06-05,4504.03,4577.70,4487.48,4548.73,148434000,4548.73
2014-06-04,4494.13,4508.26,4470.47,4501.00,100369000,4501.00
2014-06-03,4512.88,4516.02,4499.00,4503.69,97730200,4503.69
2014-06-02,4523.90,4529.35,4502.12,4515.89,121760600,4515.89
2014-05-30,4512.57,4524.92,4495.79,4519.57,133957200,4519.57
2014-05-29,4523.41,4533.50,4515.46,4530.51,67042000,4530.51
2014-05-28,4527.12,4536.83,4517.88,4531.63,84469400,4531.63
2014-05-27,4516.11,4536.48,4511.46,4529.75,94160200,4529.75
2014-05-26,4504.26,4526.93,4496.43,4526.93,53064100,4526.93
2014-05-23,4479.59,4495.76,4468.89,4493.15,84298600,4493.15
2014-05-22,4473.56,4481.98,4451.78,4478.21,97409600,4478.21
2014-05-21,4436.11,4473.28,4424.69,4469.03,110746200,4469.03
2014-05-20,4459.09,4473.10,4445.73,4452.35,89702000,4452.35
2014-05-19,4447.68,4476.41,4418.05,4469.76,115554200,4469.76
